"","date","value"
"1",2024-01-11,26.629999
"2",2024-01-12,24.969999
"3",2024-01-13,24.969999
"4",2024-01-14,24.969999
"5",2024-01-15,24.969999
"6",2024-01-16,24.719999
"7",2024-01-17,24.41
"8",2024-01-18,23.34
"9",2024-01-19,23.799999
"10",2024-01-20,23.799999
"11",2024-01-21,23.799999
"12",2024-01-22,22.950001
"13",2024-01-23,22.32
"14",2024-01-24,22.6
"15",2024-01-25,22.76
"16",2024-01-26,23.99
"17",2024-01-27,23.99
"18",2024-01-28,23.99
"19",2024-01-29,24.67
"20",2024-01-30,24.879999
"21",2024-01-31,24.299999
"22",2024-02-01,24.540001
"23",2024-02-02,24.5
"24",2024-02-03,24.5
"25",2024-02-04,24.5
"26",2024-02-05,24.190001
"27",2024-02-06,24.6
"28",2024-02-07,25.219999
"29",2024-02-08,26.030001
"30",2024-02-09,27.15
"31",2024-02-10,27.15
"32",2024-02-11,27.15
"33",2024-02-12,28.66
"34",2024-02-13,28.219999
"35",2024-02-14,29.549999
"36",2024-02-15,29.52
"37",2024-02-16,29.620001
"38",2024-02-17,29.620001
"39",2024-02-18,29.620001
"40",2024-02-19,29.620001
"41",2024-02-20,29.67
"42",2024-02-21,29.08
"43",2024-02-22,29.719999
"44",2024-02-23,29.16
"45",2024-02-24,29.16
"46",2024-02-25,29.16
"47",2024-02-26,31.120001
"48",2024-02-27,32.59
"49",2024-02-28,34.450001
"50",2024-02-29,35.419998
"51",2024-03-01,35.990002
"52",2024-03-02,35.990002
"53",2024-03-03,35.990002
"54",2024-03-04,38.650002
"55",2024-03-05,35.32
"56",2024-03-06,38.290001
"57",2024-03-07,38.630001
"58",2024-03-08,39.549999
"59",2024-03-09,39.549999
"60",2024-03-10,39.549999
"61",2024-03-11,41.119999
"62",2024-03-12,40.73
"63",2024-03-13,41.950001
"64",2024-03-14,39.509998
"65",2024-03-15,39.389999
"66",2024-03-16,39.389999
"67",2024-03-17,39.389999
"68",2024-03-18,38.139999
"69",2024-03-19,36.700001
"70",2024-03-20,37.549999
"71",2024-03-21,37.150002
"72",2024-03-22,36.41
"73",2024-03-23,36.41
"74",2024-03-24,36.41
"75",2024-03-25,40.549999
"76",2024-03-26,39.630001
"77",2024-03-27,39.130001
"78",2024-03-28,40.470001
"79",2024-03-29,40.470001
"80",2024-03-30,40.470001
"81",2024-03-31,40.470001
"82",2024-04-01,39.75
"83",2024-04-02,37.599998
"84",2024-04-03,37.540001
"85",2024-04-04,39.080002
"86",2024-04-05,38.41
"87",2024-04-06,38.41
"88",2024-04-07,38.41
"89",2024-04-08,40.950001
"90",2024-04-09,39.330002
"91",2024-04-10,40
"92",2024-04-11,40.169998
"93",2024-04-12,38.139999
"94",2024-04-13,38.139999
"95",2024-04-14,38.139999
"96",2024-04-15,36.080002
"97",2024-04-16,35.75
"98",2024-04-17,34.759998
"99",2024-04-18,36.209999
"100",2024-04-19,36.669998
"101",2024-04-20,36.669998
"102",2024-04-21,36.669998
"103",2024-04-22,37.93
"104",2024-04-23,37.900002
"105",2024-04-24,36.41
"106",2024-04-25,36.860001
"107",2024-04-26,36.32
"108",2024-04-27,36.32
"109",2024-04-28,36.32
"110",2024-04-29,35.869999
"111",2024-04-30,33.57
"112",2024-05-01,32.389999
"113",2024-05-02,33.799999
"114",2024-05-03,35.400002
"115",2024-05-04,35.400002
"116",2024-05-05,35.400002
"117",2024-05-06,36.009998
"118",2024-05-07,35.93
"119",2024-05-08,35.380001
"120",2024-05-09,35.580002
"121",2024-05-10,34.580002
"122",2024-05-11,34.580002
"123",2024-05-12,34.580002
"124",2024-05-13,36
"125",2024-05-14,35.07
"126",2024-05-15,37.669998
"127",2024-05-16,37.150002
"128",2024-05-17,38.279999
"129",2024-05-18,38.279999
"130",2024-05-19,38.279999
"131",2024-05-20,39.970001
"132",2024-05-21,39.470001
"133",2024-05-22,39.709999
"134",2024-05-23,38.27
"135",2024-05-24,39.459999
"136",2024-05-25,39.459999
"137",2024-05-26,39.459999
"138",2024-05-27,39.459999
"139",2024-05-28,38.98
"140",2024-05-29,38.32
"141",2024-05-30,39.16
"142",2024-05-31,38.549999
"143",2024-06-01,38.549999
"144",2024-06-02,38.549999
"145",2024-06-03,39.439999
"146",2024-06-04,40.169998
"147",2024-06-05,40.669998
"148",2024-06-06,40.709999
