"","date","value"
"1",2014-06-05,3383.025964
"2",2014-06-06,3428.79051
"3",2014-06-07,3428.79051
"4",2014-06-08,3428.79051
"5",2014-06-09,3420.041477
"6",2014-06-10,3415.560557
"7",2014-06-11,3429.49753
"8",2014-06-12,3430.983146
"9",2014-06-13,3455.148078
"10",2014-06-14,3455.148078
"11",2014-06-15,3455.148078
"12",2014-06-16,3426.537636
"13",2014-06-17,3410.896093
"14",2014-06-18,3425.247478
"15",2014-06-19,3425.247478
"16",2014-06-20,3421.274418
"17",2014-06-21,3421.274418
"18",2014-06-22,3421.274418
"19",2014-06-23,3424.778519
"20",2014-06-24,3437.727341
"21",2014-06-25,3445.62563
"22",2014-06-26,3457.37735
"23",2014-06-27,3434.564821
"24",2014-06-28,3434.564821
"25",2014-06-29,3434.564821
"26",2014-06-30,3427.850036
"27",2014-07-01,3443.911559
"28",2014-07-02,3431.156193
"29",2014-07-03,3441.716313
"30",2014-07-04,3444.324497
"31",2014-07-05,3444.324497
"32",2014-07-06,3444.324497
"33",2014-07-07,3449.991245
"34",2014-07-08,3455.305213
"35",2014-07-09,3456.763011
"36",2014-07-10,3451.907788
"37",2014-07-11,3449.961362
"38",2014-07-12,3449.961362
"39",2014-07-13,3449.961362
"40",2014-07-14,3456.154842
"41",2014-07-15,3449.95199
"42",2014-07-16,3457.636439
"43",2014-07-17,3458.089164
"44",2014-07-18,3493.413364
"45",2014-07-19,3493.413364
"46",2014-07-20,3493.413364
"47",2014-07-21,3510.986916
"48",2014-07-22,3533.793006
"49",2014-07-23,3514.327162
"50",2014-07-24,3499.105286
"51",2014-07-25,3510.917952
"52",2014-07-26,3510.917952
"53",2014-07-27,3510.917952
"54",2014-07-28,3503.27145
"55",2014-07-29,3492.375356
"56",2014-07-30,3477.383591
"57",2014-07-31,3466.477202
"58",2014-08-01,3448.322477
"59",2014-08-02,3448.322477
"60",2014-08-03,3448.322477
"61",2014-08-04,3465.434
"62",2014-08-05,3437.939482
"63",2014-08-06,3478.180074
"64",2014-08-07,3465.279713
"65",2014-08-08,3479.276701
"66",2014-08-09,3479.276701
"67",2014-08-10,3479.276701
"68",2014-08-11,3485.959222
"69",2014-08-12,3480.981439
"70",2014-08-13,3458.954708
"71",2014-08-14,3479.999277
"72",2014-08-15,3524.03576
"73",2014-08-16,3524.03576
"74",2014-08-17,3524.03576
"75",2014-08-18,3549.337432
"76",2014-08-19,3547.681418
"77",2014-08-20,3535.919736
"78",2014-08-21,3521.566342
"79",2014-08-22,3549.785771
"80",2014-08-23,3549.785771
"81",2014-08-24,3549.785771
"82",2014-08-25,3564.05733
"83",2014-08-26,3579.003883
"84",2014-08-27,3613.934375
"85",2014-08-28,3619.787196
"86",2014-08-29,3633.530515
"87",2014-08-30,3633.530515
"88",2014-08-31,3633.530515
"89",2014-09-01,3649.003305
"90",2014-09-02,3681.465818
"91",2014-09-03,3674.600862
"92",2014-09-04,3663.64943
"93",2014-09-05,3656.015958
"94",2014-09-06,3656.015958
"95",2014-09-07,3656.015958
"96",2014-09-08,3622.357621
"97",2014-09-09,3591.660714
"98",2014-09-10,3595.878243
"99",2014-09-11,3605.393158
"100",2014-09-12,3532.026115
"101",2014-09-13,3532.026115
"102",2014-09-14,3532.026115
"103",2014-09-15,3540.263192
"104",2014-09-16,3564.665096
"105",2014-09-17,3566.376367
"106",2014-09-18,3552.729411
"107",2014-09-19,3561.066753
"108",2014-09-20,3561.066753
"109",2014-09-21,3561.066753
"110",2014-09-22,3521.545012
"111",2014-09-23,3536.314395
"112",2014-09-24,3562.848926
"113",2014-09-25,3556.266444
"114",2014-09-26,3566.510569
"115",2014-09-27,3566.510569
"116",2014-09-28,3566.510569
"117",2014-09-29,3479.218813
"118",2014-09-30,3505.140886
"119",2014-10-01,3486.674343
"120",2014-10-02,3504.535664
"121",2014-10-03,3543.072902
"122",2014-10-04,3543.072902
"123",2014-10-05,3543.072902
"124",2014-10-06,3585.076149
"125",2014-10-07,3617.796018
"126",2014-10-08,3620.932351
"127",2014-10-09,3628.819957
"128",2014-10-10,3618.50088
"129",2014-10-11,3618.50088
"130",2014-10-12,3618.50088
"131",2014-10-13,3664.571992
"132",2014-10-14,3650.524641
"133",2014-10-15,3628.014313
"134",2014-10-16,3629.11879
"135",2014-10-17,3647.457269
"136",2014-10-18,3647.457269
"137",2014-10-19,3647.457269
"138",2014-10-20,3607.557147
"139",2014-10-21,3548.553559
"140",2014-10-22,3547.911335
"141",2014-10-23,3525.363004
"142",2014-10-24,3569.189803
"143",2014-10-25,3569.189803
"144",2014-10-26,3569.189803
"145",2014-10-27,3532.520573
"146",2014-10-28,3569.823399
"147",2014-10-29,3544.811086
"148",2014-10-30,3550.302301
"149",2014-10-31,3578.057224
"150",2014-11-01,3578.057224
"151",2014-11-02,3578.057224
"152",2014-11-03,3556.998518
"153",2014-11-04,3536.342761
"154",2014-11-05,3558.921576
"155",2014-11-06,3523.92606
"156",2014-11-07,3516.95957
"157",2014-11-08,3516.95957
"158",2014-11-09,3516.95957
"159",2014-11-10,3532.471727
"160",2014-11-11,3519.328566
"161",2014-11-12,3506.044236
"162",2014-11-13,3486.119908
"163",2014-11-14,3498.721047
"164",2014-11-15,3498.721047
"165",2014-11-16,3498.721047
"166",2014-11-17,3498.612681
"167",2014-11-18,3515.014211
"168",2014-11-19,3557.639811
"169",2014-11-20,3559.074339
"170",2014-11-21,3630.659765
"171",2014-11-22,3630.659765
"172",2014-11-23,3630.659765
"173",2014-11-24,3634.641142
"174",2014-11-25,3651.962723
"175",2014-11-26,3668.64602
"176",2014-11-27,3671.796706
"177",2014-11-28,3654.79397
"178",2014-11-29,3654.79397
"179",2014-11-30,3654.79397
"180",2014-12-01,3620.897345
"181",2014-12-02,3583.732415
"182",2014-12-03,3599.290887
"183",2014-12-04,3605.96989
"184",2014-12-05,3618.214793
"185",2014-12-06,3618.214793
"186",2014-12-07,3618.214793
"187",2014-12-08,3607.800336
"188",2014-12-09,3594.815363
"189",2014-12-10,3574.009823
"190",2014-12-11,3551.880276
"191",2014-12-12,3542.537
"192",2014-12-13,3542.537
"193",2014-12-14,3542.537
"194",2014-12-15,3520.590592
"195",2014-12-16,3517.536675
"196",2014-12-17,3520.047755
"197",2014-12-18,3532.220886
"198",2014-12-19,3546.276975
"199",2014-12-20,3546.276975
"200",2014-12-21,3546.276975
"201",2014-12-22,3561.856007
"202",2014-12-23,3563.055483
"203",2014-12-24,3565.189609
"204",2014-12-25,3565.189609
"205",2014-12-26,3566.27934
"206",2014-12-27,3566.27934
"207",2014-12-28,3566.27934
"208",2014-12-29,3560.392847
"209",2014-12-30,3582.980487
"210",2014-12-31,3585.122707
"211",2015-01-01,3585.122707
"212",2015-01-02,3588.291567
"213",2015-01-03,3588.291567
"214",2015-01-04,3588.291567
"215",2015-01-05,3597.936022
"216",2015-01-06,3627.959126
"217",2015-01-07,3623.383715
"218",2015-01-08,3627.772309
"219",2015-01-09,3654.494666
"220",2015-01-10,3654.494666
"221",2015-01-11,3654.494666
"222",2015-01-12,3635.023538
"223",2015-01-13,3649.615507
"224",2015-01-14,3652.691025
"225",2015-01-15,3661.858008
"226",2015-01-16,3679.673145
"227",2015-01-17,3679.673145
"228",2015-01-18,3679.673145
"229",2015-01-19,3673.010609
"230",2015-01-20,3702.143645
"231",2015-01-21,3706.454338
"232",2015-01-22,3689.654386
"233",2015-01-23,3712.757987
"234",2015-01-24,3712.757987
"235",2015-01-25,3712.757987
"236",2015-01-26,3703.431558
"237",2015-01-27,3702.003465
"238",2015-01-28,3698.74791
"239",2015-01-29,3710.317865
"240",2015-01-30,3696.884341
"241",2015-01-31,3696.884341
"242",2015-02-01,3696.884341
"243",2015-02-02,3677.805271
"244",2015-02-03,3685.046476
"245",2015-02-04,3673.621993
"246",2015-02-05,3664.503118
"247",2015-02-06,3650.765979
"248",2015-02-07,3650.765979
"249",2015-02-08,3650.765979
"250",2015-02-09,3645.793171
"251",2015-02-10,3632.804663
"252",2015-02-11,3609.295025
"253",2015-02-12,3636.101098
"254",2015-02-13,3637.332426
"255",2015-02-14,3637.332426
"256",2015-02-15,3637.332426
"257",2015-02-16,3637.332426
"258",2015-02-17,3637.332426
"259",2015-02-18,3631.304089
"260",2015-02-19,3639.834246
"261",2015-02-20,3638.482928
"262",2015-02-21,3638.482928
"263",2015-02-22,3638.482928
"264",2015-02-23,3644.645244
"265",2015-02-24,3653.096726
"266",2015-02-25,3652.806541
"267",2015-02-26,3662.044644
"268",2015-02-27,3716.970454
"269",2015-02-28,3716.970454
"270",2015-03-01,3716.970454
"271",2015-03-02,3698.69656
"272",2015-03-03,3700.294114
"273",2015-03-04,3682.870576
"274",2015-03-05,3666.490211
"275",2015-03-06,3667.169668
"276",2015-03-07,3667.169668
"277",2015-03-08,3667.169668
"278",2015-03-09,3627.171175
"279",2015-03-10,3644.009628
"280",2015-03-11,3650.598586
"281",2015-03-12,3638.548258
"282",2015-03-13,3657.547666
"283",2015-03-14,3657.547666
"284",2015-03-15,3657.547666
"285",2015-03-16,3660.579419
"286",2015-03-17,3695.938158
"287",2015-03-18,3703.05994
"288",2015-03-19,3661.911786
"289",2015-03-20,3672.650158
"290",2015-03-21,3672.650158
"291",2015-03-22,3672.650158
"292",2015-03-23,3683.13568
"293",2015-03-24,3683.530096
"294",2015-03-25,3683.159245
"295",2015-03-26,3682.800249
"296",2015-03-27,3676.398132
"297",2015-03-28,3676.398132
"298",2015-03-29,3676.398132
"299",2015-03-30,3687.685288
"300",2015-03-31,3706.430429
"301",2015-04-01,3734.656601
"302",2015-04-02,3734.605148
"303",2015-04-03,3734.605148
"304",2015-04-04,3734.605148
"305",2015-04-05,3734.605148
"306",2015-04-06,3742.120356
"307",2015-04-07,3743.541356
"308",2015-04-08,3775.969683
"309",2015-04-09,3770.019433
"310",2015-04-10,3789.192627
"311",2015-04-11,3789.192627
"312",2015-04-12,3789.192627
"313",2015-04-13,3786.706089
"314",2015-04-14,3815.589248
"315",2015-04-15,3831.18191
"316",2015-04-16,3827.844804
"317",2015-04-17,3818.96205
"318",2015-04-18,3818.96205
"319",2015-04-19,3818.96205
"320",2015-04-20,3789.633804
"321",2015-04-21,3789.633804
"322",2015-04-22,3792.370513
"323",2015-04-23,3790.517023
"324",2015-04-24,3790.195884
"325",2015-04-25,3790.195884
"326",2015-04-26,3790.195884
"327",2015-04-27,3809.477959
"328",2015-04-28,3810.140586
"329",2015-04-29,3820.930342
"330",2015-04-30,3796.825975
"331",2015-05-01,3796.825975
"332",2015-05-02,3796.825975
"333",2015-05-03,3796.825975
"334",2015-05-04,3796.743581
"335",2015-05-05,3801.379091
"336",2015-05-06,3806.147884
"337",2015-05-07,3806.492324
"338",2015-05-08,3835.995041
"339",2015-05-09,3835.995041
"340",2015-05-10,3835.995041
"341",2015-05-11,3827.083817
"342",2015-05-12,3821.119135
"343",2015-05-13,3827.575756
"344",2015-05-14,3874.164725
"345",2015-05-15,3897.700372
"346",2015-05-16,3897.700372
"347",2015-05-17,3897.700372
"348",2015-05-18,3867.184003
"349",2015-05-19,3863.418842
"350",2015-05-20,3896.476161
"351",2015-05-21,3900.526129
"352",2015-05-22,3916.179574
"353",2015-05-23,3916.179574
"354",2015-05-24,3916.179574
"355",2015-05-25,3904.144865
"356",2015-05-26,3898.25815
"357",2015-05-27,3885.25025
"358",2015-05-28,3906.223304
"359",2015-05-29,3894.457942
"360",2015-05-30,3894.457942
"361",2015-05-31,3894.457942
"362",2015-06-01,3891.762312
"363",2015-06-02,3878.772603
"364",2015-06-03,3878.078023
"365",2015-06-04,3878.078023
"366",2015-06-05,3875.111912
"367",2015-06-06,3875.111912
"368",2015-06-07,3875.111912
"369",2015-06-08,3898.928545
"370",2015-06-09,3905.436908
"371",2015-06-10,3896.785356
"372",2015-06-11,3894.429659
"373",2015-06-12,3904.911208
"374",2015-06-13,3904.911208
"375",2015-06-14,3904.911208
"376",2015-06-15,3889.573602
"377",2015-06-16,3894.668771
"378",2015-06-17,3906.363948
"379",2015-06-18,3911.279131
"380",2015-06-19,3919.786707
"381",2015-06-20,3919.786707
"382",2015-06-21,3919.786707
"383",2015-06-22,3930.439544
"384",2015-06-23,3931.374558
"385",2015-06-24,3928.074501
"386",2015-06-25,3899.789885
"387",2015-06-26,3908.267182
"388",2015-06-27,3908.267182
"389",2015-06-28,3908.267182
"390",2015-06-29,3888.354942
"391",2015-06-30,3884.032378
"392",2015-07-01,3870.583613
"393",2015-07-02,3891.171088
"394",2015-07-03,3898.679079
"395",2015-07-04,3898.679079
"396",2015-07-05,3898.679079
"397",2015-07-06,3888.498338
"398",2015-07-07,3889.345761
"399",2015-07-08,3881.098643
"400",2015-07-09,3883.449201
"401",2015-07-10,3885.785002
"402",2015-07-11,3885.785002
"403",2015-07-12,3885.785002
"404",2015-07-13,3883.651998
"405",2015-07-14,3883.367415
"406",2015-07-15,3891.609448
"407",2015-07-16,3901.257724
"408",2015-07-17,3897.712774
"409",2015-07-18,3897.712774
"410",2015-07-19,3897.712774
"411",2015-07-20,3912.831938
"412",2015-07-21,3926.794788
"413",2015-07-22,3909.646203
"414",2015-07-23,3833.082398
"415",2015-07-24,3821.123544
"416",2015-07-25,3821.123544
"417",2015-07-26,3821.123544
"418",2015-07-27,3824.669861
"419",2015-07-28,3826.809295
"420",2015-07-29,3827.383213
"421",2015-07-30,3848.877925
"422",2015-07-31,3855.866015
"423",2015-08-01,3855.866015
"424",2015-08-02,3855.866015
"425",2015-08-03,3828.023504
"426",2015-08-04,3835.448932
"427",2015-08-05,3806.04654
"428",2015-08-06,3755.888254
"429",2015-08-07,3738.512737
"430",2015-08-08,3738.512737
"431",2015-08-09,3738.512737
"432",2015-08-10,3757.400244
"433",2015-08-11,3762.38776
"434",2015-08-12,3781.967935
"435",2015-08-13,3782.379325
"436",2015-08-14,3787.466322
"437",2015-08-15,3787.466322
"438",2015-08-16,3787.466322
"439",2015-08-17,3797.062262
"440",2015-08-18,3817.571241
"441",2015-08-19,3810.559242
"442",2015-08-20,3800.720313
"443",2015-08-21,3768.289779
"444",2015-08-22,3768.289779
"445",2015-08-23,3768.289779
"446",2015-08-24,3745.711152
"447",2015-08-25,3746.628305
"448",2015-08-26,3763.349352
"449",2015-08-27,3749.526045
"450",2015-08-28,3760.499912
"451",2015-08-29,3760.499912
"452",2015-08-30,3760.499912
"453",2015-08-31,3735.785498
"454",2015-09-01,3711.411819
"455",2015-09-02,3663.375747
"456",2015-09-03,3672.350496
"457",2015-09-04,3622.430801
"458",2015-09-05,3622.430801
"459",2015-09-06,3622.430801
"460",2015-09-07,3622.430801
"461",2015-09-08,3660.185857
"462",2015-09-09,3673.446163
"463",2015-09-10,3648.391012
"464",2015-09-11,3667.035038
"465",2015-09-12,3667.035038
"466",2015-09-13,3667.035038
"467",2015-09-14,3704.722909
"468",2015-09-15,3712.037692
"469",2015-09-16,3720.509116
"470",2015-09-17,3720.136371
"471",2015-09-18,3658.676338
"472",2015-09-19,3658.676338
"473",2015-09-20,3658.676338
"474",2015-09-21,3645.537456
"475",2015-09-22,3639.972814
"476",2015-09-23,3623.080105
"477",2015-09-24,3777.719666
