"","date","value"
"1",2021-09-13,10.45
"2",2021-09-14,11
"3",2021-09-15,10.55
"4",2021-09-16,10.3
"5",2021-09-17,10.4
"6",2021-09-18,10.4
"7",2021-09-19,10.4
"8",2021-09-20,10.1
"9",2021-09-21,10.5
"10",2021-09-22,10.45
"11",2021-09-23,10.49
"12",2021-09-24,10.18
"13",2021-09-25,10.18
"14",2021-09-26,10.18
"15",2021-09-27,10.1
"16",2021-09-28,9.77
"17",2021-09-29,9.8
"18",2021-09-30,9.72
"19",2021-10-01,9.98
"20",2021-10-02,9.98
"21",2021-10-03,9.98
"22",2021-10-04,9.72
"23",2021-10-05,9.6
"24",2021-10-06,9.49
"25",2021-10-07,9.54
"26",2021-10-08,9.88
"27",2021-10-09,9.88
"28",2021-10-10,9.88
"29",2021-10-11,9.73
"30",2021-10-12,9.73
"31",2021-10-13,9.89
"32",2021-10-14,9.92
"33",2021-10-15,10.05
"34",2021-10-16,10.05
"35",2021-10-17,10.05
"36",2021-10-18,10.1
"37",2021-10-19,9.56
"38",2021-10-20,9.6
"39",2021-10-21,9.17
"40",2021-10-22,8.94
"41",2021-10-23,8.94
"42",2021-10-24,8.94
"43",2021-10-25,9.21
"44",2021-10-26,8.9
"45",2021-10-27,8.95
"46",2021-10-28,8.71
"47",2021-10-29,8.58
"48",2021-10-30,8.58
"49",2021-10-31,8.58
"50",2021-11-01,8.82
"51",2021-11-02,8.82
"52",2021-11-03,9.05
"53",2021-11-04,8.9
"54",2021-11-05,9.04
"55",2021-11-06,9.04
"56",2021-11-07,9.04
"57",2021-11-08,8.99
"58",2021-11-09,9.21
"59",2021-11-10,9.25
"60",2021-11-11,9.44
"61",2021-11-12,9.25
"62",2021-11-13,9.25
"63",2021-11-14,9.25
"64",2021-11-15,9.25
"65",2021-11-16,8.97
"66",2021-11-17,8.63
"67",2021-11-18,8.75
"68",2021-11-19,8.92
"69",2021-11-20,8.92
"70",2021-11-21,8.92
"71",2021-11-22,8.64
"72",2021-11-23,8.51
"73",2021-11-24,8.62
"74",2021-11-25,8.78
"75",2021-11-26,8.47
"76",2021-11-27,8.47
"77",2021-11-28,8.47
"78",2021-11-29,8.44
"79",2021-11-30,8.23
"80",2021-12-01,8.05
"81",2021-12-02,8.27
"82",2021-12-03,8.5
"83",2021-12-04,8.5
"84",2021-12-05,8.5
"85",2021-12-06,9.05
"86",2021-12-07,8.75
"87",2021-12-08,8.86
"88",2021-12-09,8.86
"89",2021-12-10,8.9
"90",2021-12-11,8.9
"91",2021-12-12,8.9
"92",2021-12-13,8.86
"93",2021-12-14,8.72
"94",2021-12-15,8.7
"95",2021-12-16,8.75
"96",2021-12-17,8.65
"97",2021-12-18,8.65
"98",2021-12-19,8.65
"99",2021-12-20,8.56
"100",2021-12-21,8.42
"101",2021-12-22,8.54
"102",2021-12-23,8.25
"103",2021-12-24,8.25
"104",2021-12-25,8.25
"105",2021-12-26,8.25
"106",2021-12-27,8.56
"107",2021-12-28,8.56
"108",2021-12-29,8.65
"109",2021-12-30,8.69
"110",2021-12-31,8.69
"111",2022-01-01,8.69
"112",2022-01-02,8.69
"113",2022-01-03,8.42
"114",2022-01-04,8.1
"115",2022-01-05,7.8
"116",2022-01-06,7.8
"117",2022-01-07,7.82
"118",2022-01-08,7.82
"119",2022-01-09,7.82
"120",2022-01-10,7.71
"121",2022-01-11,7.65
"122",2022-01-12,7.65
"123",2022-01-13,8.01
"124",2022-01-14,7.83
"125",2022-01-15,7.83
"126",2022-01-16,7.83
"127",2022-01-17,7.85
"128",2022-01-18,7.85
"129",2022-01-19,7.99
"130",2022-01-20,8.37
"131",2022-01-21,8.21
"132",2022-01-22,8.21
"133",2022-01-23,8.21
"134",2022-01-24,8.15
"135",2022-01-25,8.38
"136",2022-01-26,8.15
"137",2022-01-27,8.42
"138",2022-01-28,8.55
"139",2022-01-29,8.55
"140",2022-01-30,8.55
"141",2022-01-31,8.61
"142",2022-02-01,8.72
"143",2022-02-02,8.74
"144",2022-02-03,8.81
"145",2022-02-04,8.61
"146",2022-02-05,8.61
"147",2022-02-06,8.61
"148",2022-02-07,8.62
"149",2022-02-08,8.59
"150",2022-02-09,8.68
"151",2022-02-10,8.69
"152",2022-02-11,8.56
"153",2022-02-12,8.56
"154",2022-02-13,8.56
"155",2022-02-14,8.56
"156",2022-02-15,8.81
"157",2022-02-16,8.8
"158",2022-02-17,8.54
"159",2022-02-18,8.45
"160",2022-02-19,8.45
"161",2022-02-20,8.45
"162",2022-02-21,8.01
"163",2022-02-22,8.45
"164",2022-02-23,8.43
"165",2022-02-24,8.36
"166",2022-02-25,8.43
"167",2022-02-26,8.43
"168",2022-02-27,8.43
"169",2022-02-28,8.43
"170",2022-03-01,8.43
"171",2022-03-02,8.42
"172",2022-03-03,8.43
"173",2022-03-04,8.34
"174",2022-03-05,8.34
"175",2022-03-06,8.34
"176",2022-03-07,7.77
"177",2022-03-08,8.1
"178",2022-03-09,8.43
"179",2022-03-10,8.4
"180",2022-03-11,8.16
"181",2022-03-12,8.16
"182",2022-03-13,8.16
"183",2022-03-14,8.05
"184",2022-03-15,8.05
"185",2022-03-16,8.18
"186",2022-03-17,8.3
"187",2022-03-18,8.53
"188",2022-03-19,8.53
"189",2022-03-20,8.53
"190",2022-03-21,8.56
"191",2022-03-22,8.74
"192",2022-03-23,8.83
"193",2022-03-24,9.04
"194",2022-03-25,9.21
"195",2022-03-26,9.21
"196",2022-03-27,9.21
"197",2022-03-28,9.16
"198",2022-03-29,9.39
"199",2022-03-30,9.22
"200",2022-03-31,9.24
"201",2022-04-01,9.47
"202",2022-04-02,9.47
"203",2022-04-03,9.47
"204",2022-04-04,9.45
"205",2022-04-05,9.33
"206",2022-04-06,9.04
"207",2022-04-07,9.01
"208",2022-04-08,8.93
"209",2022-04-09,8.93
"210",2022-04-10,8.93
"211",2022-04-11,8.81
"212",2022-04-12,8.75
"213",2022-04-13,8.86
"214",2022-04-14,8.75
"215",2022-04-15,8.75
"216",2022-04-16,8.75
"217",2022-04-17,8.75
"218",2022-04-18,8.78
"219",2022-04-19,8.8
"220",2022-04-20,8.8
"221",2022-04-21,8.8
"222",2022-04-22,8.53
"223",2022-04-23,8.53
"224",2022-04-24,8.53
"225",2022-04-25,8.45
"226",2022-04-26,8.44
"227",2022-04-27,8.44
"228",2022-04-28,8.44
"229",2022-04-29,8.64
"230",2022-04-30,8.64
"231",2022-05-01,8.64
"232",2022-05-02,8.19
"233",2022-05-03,8.3
"234",2022-05-04,8.36
"235",2022-05-05,8.15
"236",2022-05-06,8.11
"237",2022-05-07,8.11
"238",2022-05-08,8.11
"239",2022-05-09,7.84
"240",2022-05-10,7.87
"241",2022-05-11,7.8
"242",2022-05-12,7.9
"243",2022-05-13,8.1
"244",2022-05-14,8.1
"245",2022-05-15,8.1
"246",2022-05-16,8.1
"247",2022-05-17,8.28
"248",2022-05-18,8.08
"249",2022-05-19,8.16
"250",2022-05-20,8.14
"251",2022-05-21,8.14
"252",2022-05-22,8.14
"253",2022-05-23,8.26
"254",2022-05-24,8.21
"255",2022-05-25,8.26
"256",2022-05-26,8.39
"257",2022-05-27,8.42
"258",2022-05-28,8.42
"259",2022-05-29,8.42
"260",2022-05-30,8.37
"261",2022-05-31,8.28
"262",2022-06-01,8.3
"263",2022-06-02,8.4
"264",2022-06-03,8.4
"265",2022-06-04,8.4
"266",2022-06-05,8.4
"267",2022-06-06,8.09
"268",2022-06-07,8.01
"269",2022-06-08,7.92
"270",2022-06-09,7.86
"271",2022-06-10,7.7
"272",2022-06-11,7.7
"273",2022-06-12,7.7
"274",2022-06-13,7.39
"275",2022-06-14,7.21
"276",2022-06-15,7.21
"277",2022-06-16,7.21
"278",2022-06-17,7.25
"279",2022-06-18,7.25
"280",2022-06-19,7.25
"281",2022-06-20,7.22
"282",2022-06-21,7.22
"283",2022-06-22,7.27
"284",2022-06-23,7.2
"285",2022-06-24,7.16
"286",2022-06-25,7.16
"287",2022-06-26,7.16
"288",2022-06-27,7.23
"289",2022-06-28,7.23
"290",2022-06-29,7.06
"291",2022-06-30,6.99
"292",2022-07-01,6.96
"293",2022-07-02,6.96
"294",2022-07-03,6.96
"295",2022-07-04,6.96
"296",2022-07-05,6.9
"297",2022-07-06,6.95
"298",2022-07-07,7.24
"299",2022-07-08,7.24
"300",2022-07-09,7.24
"301",2022-07-10,7.24
"302",2022-07-11,7.04
"303",2022-07-12,7.04
"304",2022-07-13,7.03
"305",2022-07-14,6.97
"306",2022-07-15,6.98
"307",2022-07-16,6.98
"308",2022-07-17,6.98
"309",2022-07-18,6.97
"310",2022-07-19,7
"311",2022-07-20,7.11
"312",2022-07-21,7.18
"313",2022-07-22,7.08
"314",2022-07-23,7.08
"315",2022-07-24,7.08
"316",2022-07-25,7.1
"317",2022-07-26,6.99
"318",2022-07-27,7.22
"319",2022-07-28,7.34
"320",2022-07-29,7.32
"321",2022-07-30,7.32
"322",2022-07-31,7.32
"323",2022-08-01,7.37
"324",2022-08-02,7.37
"325",2022-08-03,7.55
"326",2022-08-04,7.95
"327",2022-08-05,7.88
"328",2022-08-06,7.88
"329",2022-08-07,7.88
"330",2022-08-08,8
"331",2022-08-09,7.92
"332",2022-08-10,8.18
"333",2022-08-11,8.08
"334",2022-08-12,8.18
"335",2022-08-13,8.18
"336",2022-08-14,8.18
"337",2022-08-15,8.45
"338",2022-08-16,8.3
"339",2022-08-17,8.3
"340",2022-08-18,8.25
"341",2022-08-19,8.05
"342",2022-08-20,8.05
"343",2022-08-21,8.05
"344",2022-08-22,7.96
"345",2022-08-23,8.13
