"","date","value"
"1",2014-04-29,41.959999
"2",2014-04-30,42.299999
"3",2014-05-01,42.299999
"4",2014-05-02,42.110001
"5",2014-05-03,42.110001
"6",2014-05-04,42.110001
"7",2014-05-05,41.919998
"8",2014-05-06,41.98
"9",2014-05-07,41.970001
"10",2014-05-08,41.740002
"11",2014-05-09,42
"12",2014-05-10,42
"13",2014-05-11,42
"14",2014-05-12,42.389999
"15",2014-05-13,42.310001
"16",2014-05-14,42.110001
"17",2014-05-15,41.93
"18",2014-05-16,41.830002
"19",2014-05-17,41.830002
"20",2014-05-18,41.830002
"21",2014-05-19,42.02
"22",2014-05-20,41.889999
"23",2014-05-21,42.09
"24",2014-05-22,42.419998
"25",2014-05-23,42.650002
"26",2014-05-24,42.650002
"27",2014-05-25,42.650002
"28",2014-05-26,42.610001
"29",2014-05-27,43.189999
"30",2014-05-28,43.23
"31",2014-05-29,43.110001
"32",2014-05-30,43.77
"33",2014-05-31,43.77
"34",2014-06-01,43.77
"35",2014-06-02,44.189999
"36",2014-06-03,44.279999
"37",2014-06-04,44.380001
"38",2014-06-05,44.299999
"39",2014-06-06,44.200001
"40",2014-06-07,44.200001
"41",2014-06-08,44.200001
"42",2014-06-09,43.939999
"43",2014-06-10,43.860001
"44",2014-06-11,43.84
"45",2014-06-12,43.84
"46",2014-06-13,43.599998
"47",2014-06-14,43.599998
"48",2014-06-15,43.599998
"49",2014-06-16,43.599998
"50",2014-06-17,44.130001
"51",2014-06-18,44.029999
"52",2014-06-19,44.029999
"53",2014-06-20,44.029999
"54",2014-06-21,44.029999
"55",2014-06-22,44.029999
"56",2014-06-23,43.959999
"57",2014-06-24,43.93
"58",2014-06-25,43.639999
"59",2014-06-26,43.400002
"60",2014-06-27,43.419998
"61",2014-06-28,43.419998
"62",2014-06-29,43.419998
"63",2014-06-30,43.700001
"64",2014-07-01,43.900002
"65",2014-07-02,44.330002
"66",2014-07-03,44.369999
"67",2014-07-04,44.389999
"68",2014-07-05,44.389999
"69",2014-07-06,44.389999
"70",2014-07-07,44.400002
"71",2014-07-08,44.400002
"72",2014-07-09,44.400002
"73",2014-07-10,44.029999
"74",2014-07-11,44.060001
"75",2014-07-12,44.060001
"76",2014-07-13,44.060001
"77",2014-07-14,44.150002
"78",2014-07-15,44.299999
"79",2014-07-16,44.470001
"80",2014-07-17,44.650002
"81",2014-07-18,44.509998
"82",2014-07-19,44.509998
"83",2014-07-20,44.509998
"84",2014-07-21,44.189999
"85",2014-07-22,44.299999
"86",2014-07-23,44.580002
"87",2014-07-24,44.580002
"88",2014-07-25,44.509998
"89",2014-07-26,44.509998
"90",2014-07-27,44.509998
"91",2014-07-28,44.439999
"92",2014-07-29,44.560001
"93",2014-07-30,44.700001
"94",2014-07-31,44.439999
"95",2014-08-01,44.049999
"96",2014-08-02,44.049999
"97",2014-08-03,44.049999
"98",2014-08-04,44.119999
"99",2014-08-05,44.23
"100",2014-08-06,44.119999
"101",2014-08-07,44.279999
"102",2014-08-08,44.540001
"103",2014-08-09,44.540001
"104",2014-08-10,44.540001
"105",2014-08-11,44.639999
"106",2014-08-12,44.450001
"107",2014-08-13,44.860001
"108",2014-08-14,44.810001
"109",2014-08-15,44.700001
"110",2014-08-16,44.700001
"111",2014-08-17,44.700001
"112",2014-08-18,45.009998
"113",2014-08-19,45.099998
"114",2014-08-20,45.099998
"115",2014-08-21,45.459999
"116",2014-08-22,45.939999
"117",2014-08-23,45.939999
"118",2014-08-24,45.939999
"119",2014-08-25,46.259998
"120",2014-08-26,45.889999
"121",2014-08-27,45.73
"122",2014-08-28,45.32
"123",2014-08-29,45.34
"124",2014-08-30,45.34
"125",2014-08-31,45.34
"126",2014-09-01,45.369999
"127",2014-09-02,45.689999
"128",2014-09-03,45.290001
"129",2014-09-04,45.5
"130",2014-09-05,45.439999
"131",2014-09-06,45.439999
"132",2014-09-07,45.439999
"133",2014-09-08,45.919998
"134",2014-09-09,46.07
"135",2014-09-10,46.389999
"136",2014-09-11,46.310001
"137",2014-09-12,46.990002
"138",2014-09-13,46.990002
"139",2014-09-14,46.990002
"140",2014-09-15,47.080002
"141",2014-09-16,47.200001
"142",2014-09-17,47.810001
"143",2014-09-18,48.139999
"144",2014-09-19,48.43
"145",2014-09-20,48.43
"146",2014-09-21,48.43
"147",2014-09-22,48.299999
"148",2014-09-23,48.360001
"149",2014-09-24,48.240002
"150",2014-09-25,48.290001
"151",2014-09-26,48.41
"152",2014-09-27,48.41
"153",2014-09-28,48.41
"154",2014-09-29,48.880001
"155",2014-09-30,48.799999
"156",2014-10-01,48.939999
"157",2014-10-02,49.040001
"158",2014-10-03,49.32
"159",2014-10-04,49.32
"160",2014-10-05,49.32
"161",2014-10-06,48.400002
"162",2014-10-07,47.279999
"163",2014-10-08,47.400002
"164",2014-10-09,46.709999
"165",2014-10-10,46.830002
"166",2014-10-11,46.830002
"167",2014-10-12,46.830002
"168",2014-10-13,45.650002
"169",2014-10-14,45.790001
"170",2014-10-15,45.5
"171",2014-10-16,46.599998
"172",2014-10-17,46.5
"173",2014-10-18,46.5
"174",2014-10-19,46.5
"175",2014-10-20,47.259998
"176",2014-10-21,48.41
"177",2014-10-22,48.650002
"178",2014-10-23,49.689999
"179",2014-10-24,48.900002
"180",2014-10-25,48.900002
"181",2014-10-26,48.900002
"182",2014-10-27,50.049999
"183",2014-10-28,49.509998
"184",2014-10-29,49.389999
"185",2014-10-30,49.389999
"186",2014-10-31,50.290001
"187",2014-11-01,50.290001
"188",2014-11-02,50.290001
"189",2014-11-03,51.240002
"190",2014-11-04,51.16
"191",2014-11-05,51.16
"192",2014-11-06,52.240002
"193",2014-11-07,52.849998
"194",2014-11-08,52.849998
"195",2014-11-09,52.849998
"196",2014-11-10,52.599998
"197",2014-11-11,52.959999
"198",2014-11-12,52.970001
"199",2014-11-13,53.700001
"200",2014-11-14,53.82
"201",2014-11-15,53.82
